Region,Crop_Type,Temperature,Rainfall,Pesticide_Use,Yield,Soil_Moisture,Humidity,Solar_Radiation,Wind_Speed,Previous_Crop,Fertilizer_Residuals,Pest_Infestation_Severity,Disease_Presence,Pesticide_Effectiveness,Monsoon_Delay,Flood_Occurrence,Temperature_Extremes,Year
Uttar Pradesh,Soybean,31.763069976350916,778.002361307416,359.70838307082687,5998.662437672969,31.369864284316996,52.22948622357086,7.583215513469581,6.890117867881265,Wheat,256.30373643796077,2.8645682257350793,1,93.05659715395527,21.745671661088217,1,0,2023
Tamil Nadu,Soybean,30.56937369504615,1149.2068236989608,269.3597764237459,4483.037921887353,17.620806765454457,64.13528435068298,6.527483259673119,1.2308606826967372,Maize,85.68046349213452,7.638848601960212,0,83.05759434571151,8.227735147209502,1,1,2023
Gujarat,Soybean,24.348557671414543,477.33867313978516,265.9542946220424,5806.244893604231,6.009793177393514,82.90253817831508,6.35889635127433,5.399472737109241,Wheat,127.38549796552202,2.8645682257350793,1,94.96346850109748,5.542859573991042,0,1,2023
Odisha,Soybean,27.490267206761207,1457.4842477738885,394.7451011159839,2915.854695596971,15.385846527508313,86.51433523562521,4.971705731753321,15.368421422344841,Sugarcane,192.27674509070096,0.9548560752450265,1,88.84084157211007,2.5085396417200467,1,0,2023
Haryana,Sugarcane,31.513690097071688,963.9478703819824,221.7808305254401,5107.170484435415,28.88501537992597,74.37379488667608,3.006422127634007,17.700306490945174,Maize,111.49815001781356,1.909712150490053,1,85.71536059965013,3.094125398003268,1,0,2023
Punjab,Sugarcane,29.582531829892496,895.168053698684,402.56732640409547,5033.750692965206,25.25230889426897,35.19718565128164,3.6007962936781097,4.430543038047341,Rice,174.28511593805035,3.819424300980106,0,82.60490683932201,18.743912045645835,1,1,2023
Chhattisgarh,Wheat,39.287166250845715,1069.9073880444582,238.24961381562298,4693.938021263361,18.208741474272927,70.14924933209105,5.672772723780196,9.270956785178438,Maize,252.33570718467558,8.593704677205238,1,88.918820977719,12.928230980726141,0,0,2023
Haryana,Rice,22.46092299129927,1119.7238245578963,209.74848832354775,5948.644908332773,6.450564328831792,54.618223312359724,6.375649429222099,9.406480958744128,Sugarcane,167.63448369756873,4.774280376225132,1,76.78615370684042,19.186463407715433,0,0,2023
Rajasthan,Soybean,33.50332580493096,411.873208599518,255.3655579715398,3328.7873450103093,17.264900588775188,58.242059969463696,5.087241419482313,17.471506115194686,Sugarcane,287.244336029899,5.729136451470159,0,63.863063228226565,17.336262001536372,0,1,2023
Karnataka,Wheat,27.755361104417293,1193.750555099376,367.2553802340723,2125.12041960995,18.49034066438689,32.94890342071062,6.653395057641951,15.255981057516108,Wheat,261.8751550940854,2.8645682257350793,1,61.599445151913635,14.795285496176831,1,1,2023
